smiles,score
OCC(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.15813944904412297
OCC(O)C(N[SH](Cl)[SH](Cl)N(Cl)SO)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.14595448116768261
OCC(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(F)SO,0.14461461890646488
CSN(O)[SH](F)[SH](Cl)OC(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](Cl)N(Cl)SO)C(O)CO,0.13900191566503928
OCC(F)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.13811770034973062
OCC(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](S)N(Cl)SO,0.13769135481703973
OCC(O)C(O[SH](S)[SH](Cl)N(Cl)SO)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.13611049425998423
OCC(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SO,0.13428746842855904
OCC(F)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.13329019352381838
OSN(Cl)[SH](Cl)[SH](Cl)OC(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)C(O)CCl,0.13276568803500208
OCC(O)C(O[SH](S)[SH](F)N(O)SCl)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SO,0.13180315953135777
OCC(O)C(O[SH](Cl)[SH](F)N(O)NCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.13165421445798775
N[SH](OC(O[SH](Cl)[SH](Cl)N(Cl)SO)(O[SH](Cl)[SH](Cl)N(Cl)SO)C(O)CO)[SH](Cl)N(Cl)SO,0.13019172165096746
OCC(O)C(O[SH](Cl)[SH](Cl)N(Cl)SO)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SO,0.12989402670324385
OCC(O)C(O[SH](O)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.12958012395315535
OCC(OF)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.12696573961936103
OCC(O)C(O[SH](Cl)[SH](F)C(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.12680023025324108
OCC(O)C(O[SH](O)[SH](Cl)N(Cl)SO)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SO,0.1265848135560245
OCC(O)C(O[SH](Cl)[SH](S)N(Cl)SO)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SO,0.12578692435574684
OCN(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.12466906984122894
OSN(Cl)[SH](Cl)[SH](Cl)OC(O[SH](Cl)[SH](Cl)N(Cl)SO)(O[SH](Cl)[SH](Cl)N(Cl)SO)C(O)CF,0.12438733755156244
NC(O)C(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.12385323009114607
OCC(O)S(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.12319471725516778
NON(SCl)[SH](F)[SH](Cl)OC(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](Cl)N(Cl)SO)C(O)CO,0.1205088443271229
OCC(O)C(O[SH](Cl)[SH](Cl)N(Cl)SO)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SOCl,0.1202245613357823
OCC(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](S)N(O)SCl,0.11434327961857636
OCC(O)C(O[SH](Cl)C(F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.11432504629834393
NN(SCl)[SH](F)[SH](Cl)OC(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)C(O)CO,0.11401315089484834
OCC(O)C(O[SH](F)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.1127799458755287
OCC(O)C(O[SH](Cl)C(Cl)N(Cl)SO)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SO,0.11275242831151068
OCC(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.11250913875031067
OCC(O)C(OC(Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.11201404045821159
OCC(O)C(O[SH](Cl)[SH](F)N(O)SO)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.11200747895386429
OCC(O)C(O[SH](Cl)[SH](F)N(O)CCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.11128621347264929
OC[SH](O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(Cl)SO,0.11026699775899386
OCC(O)C(O[SH](Cl)[SH](Cl)N(Cl)CO)(O[SH](Cl)[SH](Cl)N(Cl)SO)O[SH](Cl)[SH](Cl)N(Cl)SO,0.10873745665506407
OCN(O)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](F)N(O)SCl,0.10785743686843002
COC(CO)C(O[SH](Cl)[SH](F)N(O)SCl)(O[SH](Cl)[SH](F)N(O)SCl)O[SH](Cl)[SH](Cl)N(N)SO,0.10620943918996184
