size_c,parent,n_atoms,side,parent_r,child_mean,child_best,delta_mean,delta_best
20.0,CCC1=NC(=NC=C1)N(C)CC,12,below,0.26993912073004117,0.31477364897727966,0.3649791479110718,0.044834524393081665,0.09504002332687378
20.0,CC(C)NCCN1CCN(CC1)C,13,below,0.3283214827966269,0.35919189453125,0.4085557460784912,0.030870407819747925,0.08023425936698914
20.0,Nc1ccc(NC(=O)CCC)cc1,13,below,0.4077462183860581,0.4463711977005005,0.4942348003387451,0.038624972105026245,0.08648857474327087
20.0,Cc1ccc(NCCN(C)C)cc1O,14,below,0.4660388701144568,0.4930267632007599,0.5307254195213318,0.02698788046836853,0.06468653678894043
20.0,CCN(CC)CCNc1ccccc1,14,below,0.35649162313940524,0.40214183926582336,0.4538973867893219,0.045650213956832886,0.09740576148033142
20.0,CCNc1nc(N)nc2c1ncn2CC,15,below,0.30104357212973504,0.31691625714302063,0.3347456455230713,0.015872687101364136,0.033702075481414795
20.0,CN1CCN(CC1)c2ccccc2NCCO,17,below,0.538313749913481,0.5625388026237488,0.6138527393341064,0.024225056171417236,0.0755389928817749
20.0,Cc1ccc(N2CCN(CCO)CC2)cc1Cl,17,below,0.5801048740879379,0.6269474625587463,0.6711806654930115,0.04684257507324219,0.09107577800750732
20.0,Nc1ccc(C(=O)N2CCN(CC)CC2)cc1,17,below,0.5633066579583065,0.5962643027305603,0.6613653302192688,0.03295767307281494,0.09805870056152344
20.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,17,below,0.3488961861121066,0.3817688226699829,0.4381679594516754,0.03287264704704285,0.08927178382873535
20.0,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,20,above,0.25900436370771585,0.29041171073913574,0.3223075866699219,0.03140735626220703,0.06330323219299316
20.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,21,above,0.4895386753087994,0.446097731590271,0.5022053718566895,-0.043440937995910645,0.012666702270507812
20.0,CCC1=CC2=C(N=C1)N=C(NC3CCCCC3O)N=C2N,21,above,0.5086575628999739,0.46819448471069336,0.4983275830745697,-0.04046308994293213,-0.010329991579055786
20.0,CC(C)Cc1ccc(C(C)C(=O)NC2CCCCC2)cc1,21,above,0.4251071898659662,0.4347938597202301,0.4580446481704712,0.009686678647994995,0.032937467098236084
20.0,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,24,above,0.406274866688339,0.35925614833831787,0.3890513479709625,-0.04701870679855347,-0.017223507165908813
20.0,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,24,above,0.448061205673014,0.4057091772556305,0.4241929054260254,-0.04235202074050903,-0.023868292570114136
20.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,26,above,0.461935411873713,0.4223717153072357,0.44156190752983093,-0.03956368565559387,-0.020373493432998657
20.0,CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O,27,above,0.2446051170126449,0.21766984462738037,0.22871020436286926,-0.026935279369354248,-0.015894919633865356
20.0,CN(C)C1C2CC3C(=O)c4c(O)cccc4C(C)(O)C3CC2C(O)=C(C(N)=O)C1=O,30,above,0.2568017727310688,0.21683423221111298,0.2279978096485138,-0.039967551827430725,-0.028803974390029907
20.0,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3ccc(cc3)C(=O)NCc4ccncc4,32,above,0.21240136613914007,0.17701953649520874,0.18455737829208374,-0.035381823778152466,-0.027843981981277466
20.0,CC1(O)C2CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)c2c(O)cccc21,32,above,0.12669259574531036,0.1065591499209404,0.11099094152450562,-0.02013344317674637,-0.015701651573181152
20.0,CC1C=CC=C(C)C(=O)NC2=C(O)C3=C(O)C(C)=C(O)C(=C3C(=O)C2=O)C(C)C(O)C(C)C1O,34,above,0.11499687686903888,0.09582952409982681,0.10405299067497253,-0.019167356193065643,-0.010943889617919922
20.0,CN1CCN(CC1)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)NC,35,above,0.1379616297929703,0.11277014762163162,0.11534924060106277,-0.025191478431224823,-0.02261238545179367
20.0,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,40,above,0.027742104923363042,0.025234946981072426,0.026788877323269844,-0.002507157623767853,-0.0009532272815704346
20.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,51,above,0.0025786166746394963,0.002124994760379195,0.002225253963842988,-0.0004536218475550413,-0.0003533626440912485
25.0,CCC1=NC(=NC=C1)N(C)CC,12,below,0.13806200655595918,0.16925354301929474,0.19624899327754974,0.031191542744636536,0.05818699300289154
25.0,CC(C)NCCN1CCN(CC1)C,13,below,0.17653819581602803,0.2039245367050171,0.23194994032382965,0.027386337518692017,0.05541174113750458
25.0,Nc1ccc(NC(=O)CCC)cc1,13,below,0.2192448119189062,0.2534189522266388,0.2805926203727722,0.03417414426803589,0.06134781241416931
25.0,Cc1ccc(NCCN(C)C)cc1O,14,below,0.26458490923388683,0.2967030107975006,0.31939002871513367,0.03211811184883118,0.05480512976646423
25.0,CCN(CC)CCNc1ccccc1,14,below,0.20239149521544297,0.24200855195522308,0.27315497398376465,0.039617061614990234,0.0707634836435318
25.0,CCNc1nc(N)nc2c1ncn2CC,15,below,0.1811677145966641,0.2028578519821167,0.2142704427242279,0.02169013023376465,0.033102720975875854
25.0,CN1CCN(CC1)c2ccccc2NCCO,17,below,0.3675498849426074,0.41062402725219727,0.44808050990104675,0.04307413101196289,0.08053061366081238
25.0,Cc1ccc(N2CCN(CCO)CC2)cc1Cl,17,below,0.39608403047467405,0.4576389789581299,0.48992687463760376,0.061554938554763794,0.09384283423423767
25.0,Nc1ccc(C(=O)N2CCN(CC)CC2)cc1,17,below,0.38461454375493226,0.43524184823036194,0.4827622175216675,0.050627291202545166,0.09814766049385071
25.0,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1,17,below,0.2382193527158275,0.27867135405540466,0.3198397755622864,0.040452003479003906,0.08162042498588562
25.0,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc([N+](=O)[O-])cc1,20,below,0.21706300464299086,0.26113447546958923,0.289814829826355,0.044071465730667114,0.07275182008743286
25.0,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,21,below,0.440186852995929,0.43055447936058044,0.48470717668533325,-0.009632378816604614,0.04452031850814819
25.0,CCC1=CC2=C(N=C1)N=C(NC3CCCCC3O)N=C2N,21,below,0.45737830974085997,0.4518813192844391,0.4809645116329193,-0.005496978759765625,0.0235862135887146
25.0,CC(C)Cc1ccc(C(C)C(=O)NC2CCCCC2)cc1,21,below,0.38225089360917947,0.41964447498321533,0.4420851469039917,0.03739356994628906,0.05983424186706543
25.0,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,24,below,0.451824625602137,0.42867234349250793,0.4642246663570404,-0.023152291774749756,0.012400031089782715
25.0,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,24,below,0.49829586592505376,0.48410114645957947,0.506156325340271,-0.014194726943969727,0.007860451936721802
25.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,26,above,0.5909487613632851,0.578632652759552,0.6049224734306335,-0.012316107749938965,0.013973712921142578
25.0,CCCC1CC(N(C)C1)C(=O)NC(C(C)Cl)C1OC(SC)C(O)C(O)C1O,27,above,0.33509943124363145,0.31879934668540955,0.33496907353401184,-0.016300082206726074,-0.0001303553581237793
25.0,CN(C)C1C2CC3C(=O)c4c(O)cccc4C(C)(O)C3CC2C(O)=C(C(N)=O)C1=O,30,above,0.42672350956307115,0.38193097710609436,0.40159448981285095,-0.0447925329208374,-0.02512902021408081
25.0,CN1CCN(CC1)c2ccc(cc2)C(=O)Nc3ccc(cc3)C(=O)NCc4ccncc4,32,above,0.39501894282132644,0.34610894322395325,0.36084696650505066,-0.048909991979599,-0.03417196869850159
25.0,CC1(O)C2CC3C(N(C)C)C(O)=C(C(N)=O)C(=O)C3(O)C(O)=C2C(=O)c2c(O)cccc21,32,above,0.2356198368414355,0.20834465324878693,0.21700972318649292,-0.027275189757347107,-0.018610119819641113
25.0,CC1C=CC=C(C)C(=O)NC2=C(O)C3=C(O)C(C)=C(O)C(=C3C(=O)C2=O)C(C)C(O)C(C)C1O,34,above,0.23530448047164065,0.20425696671009064,0.22178493440151215,-0.031047508120536804,-0.013519540429115295
25.0,CN1CCN(CC1)c1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)Nc1ccc(cc1)C(=O)NC,35,above,0.29405989397825355,0.24923396110534668,0.25493404269218445,-0.04482594132423401,-0.03912585973739624
25.0,CCC1OC(=O)C(C)C(O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,40,above,0.06800788521149889,0.06294069439172745,0.06681649386882782,-0.005067192018032074,-0.0011913925409317017
25.0,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O,51,above,0.006922447490529128,0.0057174754329025745,0.005987231153994799,-0.00120497215539217,-0.0009352164342999458
30.0,CCC1=NC(=NC=C1)N(C)CC,12,below,0.05886297669533179,0.07418429106473923,0.0860164687037468,0.015321314334869385,0.027153491973876953
