canonical,n_atoms,qed,sa,lipinski,composition
C=C1C2CCC1(C)CC1=CC=C3C(O)=C4SC5=CC=C1C3(C=C1Nc3cccc(=O)cc3CC15S4)C2,36,0.35944342963694365,0.2707679503736597,0,0.3349030250000107
CCCC(O)C1NCCCC(C)CCCCNC(CCN(C)CC(C)(C)C)C(N(CC(C)OC)C(CCC(C)C)CNC(CO)NCOC)OC1C(CC)CCCC(C)O,60,0.042869208412453556,0.3833825392757216,0,0.7312132849329194
COSN1OC(OC=O)C1C=C1SC2=C(C=C(C)C(=O)O)CC(C)C1CC1CCSC1=C2,32,0.2265801539067036,0.3794040363845583,1,0.6511172023382668
CCC(C)CC1C2C(C)CCC3(C)CNC4C(O)C5CC(C(O)NC1C1(CC(C)CC(O)CC1C)C4CC5(C)CC(CC)C3)C(C(O)O)CC(O)CCC2O,55,0.15697297913203745,0.23229728991662954,0,0.5184811704879126
O=C(O)C1C=C2OC3CC4=C(O)C=C5NCC(C5=O)N(O)C3NN(C1=O)C2=C4,28,0.34905400037178697,0.3020058303720546,1,0.5803218673219085
C=C(C)CC(=O)C12COC(C3=NC=CC=C(N=C=O)C3)=C(C=C(Cl)C1)C(=C(O)O)C2,30,0.2873339516966548,0.47066725884073,1,0.8657482163720694
CC1N=C2C3=NC(CC(=O)O)C(=O)N4CN(C(SCl)=NC(=O)C2=C(O)C=C(CO)O1)C(C(O)CC1CCCCC14)C1(C)CN31,44,0.3232049864506886,0.2981687182422062,0,0.8464825295310517
CC1CC2C3NN(O)C1C1C4CCC(C2O)C2(O)CC1C1NC(C5CC6C(C)(CC(OCC2(O)S4)C(O)N5)C2CC162)C(C(O)CCCN(O)O)O3,51,0.16078898560982766,0.15042474062003366,0,0.900051805642355
C=C(C)CCc1ncccc1CC1=C2C=C(OC)C=C(O)C(C)N=C2OSC1=O,29,0.5506814893058147,0.620518466177067,1,0.8424067192253056
C=C1N=CC2=C=NC34CC5(CC56CN=C1N26)C1=C(O)N(C=C(OC1)C3N(O)O)O4,29,0.5451062141092617,0.2800372528843147,1,0.6802159644110295
C=C1C=CC=C(O)C2=C(O)C3=C(OC2=C1)C(C)OC1=CC(=CC3=C)N(C=COC(C)=O)CC1OF,35,0.4341875856311287,0.3646167391763402,1,0.7018255225334803
CC1=C2C(O)=C3CCCC4=CC=C5C6=C(O)N7CC(=C(O)C=C4C57)C3CC(C(C)O)C(N)=CN2N6C1,36,0.3798626393084248,0.2713685127591339,1,0.8293407392500792
CC1=CCN2C(=N1)SC1=CN=C3C(Cl)=C(C)C(=C1)CN=Nc1cc3ncc12,27,0.6151754179060814,0.42672994878413323,1,0.4518858076785246
CC1CC2C(=O)C3(NCC4CC4)C=C4NC5(C)C=C3CC(S4)C3(C)C(O)C2C13C5,29,0.6223339233306587,0.33560743295660495,1,0.5387091711104683
C=C1OOC2C(=CC3=C=c4ooncc1nc4=C3C1=NO1)C(=O)CN2CC,27,0.6481738029777399,0.33781254481507694,1,0.7220434055191578
C1=C=C2CC=1C=C1SCn3cc2ccn1[nH]3,16,0.6774172505660814,0.32100850334713193,1,0.47879269433325883
CC1NNN2CC3(C)N=C(N)C4=CC=C3C35C6=c7cc(c(cc7=C2N4)C2(C)N(C6)SC32O1)N5O,34,0.2988857617697894,0.2204520431341085,1,0.590693297794803
ON1N=C2C3(C=C4C5=COC67CC68C3SNC(CC5)CC4CC278)O1,24,0.6550367306434594,0.1919553374989405,1,0.9633335562860176
CC1=C2C=C=CC(=CC=c3c(Cl)c(Cl)c(Cl)cc3=C(O)C(N(O)C=C(O)O)=C1O)C2,30,0.18409343839825976,0.46530981539172017,1,0.6514168632667019
