method,metric,mean,std,min,max,range,n_seeds
genetic_algorithm,total,0.460846,0.021131,0.439383,0.481627,0.042245,3
genetic_algorithm,potency,0.227841,0.045216,0.178493,0.267281,0.088788,3
genetic_algorithm,novelty,0.991831,0.000386,0.991483,0.992247,0.000764,3
genetic_algorithm,resistance,0.978103,0.001022,0.977182,0.979202,0.00202,3
genetic_algorithm,qed,0.386452,0.087065,0.286078,0.441553,0.155474,3
genetic_algorithm,sa,0.534851,0.022018,0.509466,0.548776,0.03931,3
hill_climbing,total,0.244361,0.014568,0.231727,0.260296,0.028569,3
hill_climbing,potency,0.32555,0.014437,0.310878,0.339739,0.028861,3
hill_climbing,novelty,0.991577,0.000119,0.991461,0.991699,0.000239,3
hill_climbing,resistance,0.977436,0.000314,0.977131,0.977757,0.000626,3
hill_climbing,qed,0.151077,0.035736,0.111326,0.180544,0.069218,3
hill_climbing,sa,0.45856,0.005778,0.452719,0.464272,0.011553,3
random,total,0.15342,0.005926,0.147656,0.159496,0.01184,3
random,potency,0.339134,0.021026,0.315883,0.356813,0.04093,3
random,novelty,0.992292,9.7e-05,0.99218,0.992354,0.000174,3
random,resistance,0.979326,0.000257,0.979029,0.979491,0.000462,3
random,qed,0.097612,0.02103,0.080027,0.120907,0.04088,3
random,sa,0.432878,0.016084,0.415105,0.446433,0.031328,3
smiles_rnn,total,0.601672,0.072523,0.536449,0.67977,0.143321,3
smiles_rnn,potency,0.467058,0.22384,0.322113,0.724861,0.402748,3
smiles_rnn,novelty,0.883948,0.14867,0.712304,0.972363,0.260059,3
smiles_rnn,resistance,0.776913,0.251798,0.486255,0.928625,0.44237,3
smiles_rnn,qed,0.519898,0.232859,0.310157,0.770473,0.460316,3
smiles_rnn,sa,0.834861,0.058996,0.769593,0.884393,0.1148,3
