phase,metric,mean,std,min,max,range,n_seeds
1,n,5096.333333,26.102363,5067.0,5117.0,50.0,3
1,train_reward,0.23602,0.002331,0.233948,0.238545,0.004597,3
1,score,0.235465,0.002144,0.23335,0.237637,0.004287,3
1,qed,0.379635,0.005715,0.375635,0.38618,0.010546,3
1,lipinski,0.750165,0.009823,0.742232,0.761153,0.018921,3
1,n_atoms,30.460377,0.120291,30.325109,30.555338,0.230229,3
1,composition,0.669181,0.001844,0.667481,0.671141,0.00366,3
2,n,9679.333333,61.0437,9610.0,9725.0,115.0,3
2,train_reward,0.279143,0.004769,0.273637,0.282011,0.008374,3
2,score,0.256358,0.000747,0.255496,0.256808,0.001313,3
2,qed,0.317474,0.017341,0.304027,0.337046,0.033019,3
2,lipinski,0.823383,0.004869,0.818816,0.828507,0.009691,3
2,n_atoms,26.252312,0.382755,25.921983,26.671766,0.749783,3
2,composition,0.679984,0.005479,0.673939,0.684625,0.010686,3
3,n,3928.666667,23.007245,3906.0,3952.0,46.0,3
3,train_reward,0.271457,0.00177,0.269677,0.273216,0.00354,3
3,score,0.267224,0.001774,0.265433,0.26898,0.003547,3
3,qed,0.274107,0.002521,0.272421,0.277005,0.004583,3
3,lipinski,0.740501,0.010423,0.732463,0.752277,0.019814,3
3,n_atoms,28.599781,0.37482,28.177126,28.891802,0.714677,3
3,composition,0.69316,0.001722,0.691782,0.695091,0.003309,3
