metric,mean,std,min,max,range,n_seeds
summary_n,20023.333333,5.859465,20019.0,20030.0,11.0,3
summary_mean,0.254676,0.000495,0.254246,0.255217,0.000971,3
summary_max,0.585687,0.031907,0.549314,0.608954,0.059639,3
summary_top10,0.52517,0.006942,0.518675,0.532486,0.013811,3
summary_top100,0.481428,0.001737,0.479777,0.483241,0.003463,3
components_total,0.52517,0.006942,0.518675,0.532486,0.013811,3
components_potency,0.421325,0.013794,0.407243,0.434813,0.02757,3
components_novelty,0.986937,0.000549,0.986505,0.987555,0.00105,3
components_resistance,0.965311,0.001408,0.964207,0.966896,0.00269,3
components_qed,0.558295,0.042736,0.522043,0.605416,0.083373,3
components_sa,0.654875,0.058414,0.587608,0.692809,0.105201,3
quality_scaffold_diversity,0.628975,0.039949,0.604825,0.675087,0.070262,3
quality_internal_diversity,0.917479,0.000958,0.916586,0.918491,0.001906,3
quality_lipinski_pass,0.790262,0.003697,0.787673,0.794495,0.006822,3
quality_novelty_vs_drugbank,1.0,0.0,1.0,1.0,0.0,3
